date,temp,hum,percp,wspeed,pm10
2023-02-25 01:00:00,5.9,88.0,0.0,23.5,31.0
2023-02-25 02:00:00,5.6,89.0,0.0,24.2,28.0
2023-02-25 03:00:00,5.2,89.0,0.0,19.2,24.0
2023-02-25 04:00:00,4.8,91.0,0.0,10.1,23.0
2023-02-25 05:00:00,4.7,92.0,0.0,7.1,22.0
2023-02-25 06:00:00,4.6,92.0,0.2,5.2,22.0
2023-02-25 07:00:00,5.1,99.0,1.1,3.6,19.0
2023-02-25 08:00:00,5.7,98.0,2.2,8.0,11.0
2023-02-25 09:00:00,6.9,95.0,1.8,10.9,8.0
2023-02-25 10:00:00,7.1,76.0,0.6,7.0,13.0
2023-02-25 11:00:00,8.2,72.0,0.1,7.7,8.0
2023-02-25 12:00:00,9.3,66.0,0.0,9.3,17.0
2023-02-25 13:00:00,9.6,62.0,0.0,9.3,27.0
2023-02-25 14:00:00,9.2,62.0,0.1,9.6,25.0
2023-02-25 15:00:00,8.7,65.0,0.2,10.7,15.0
2023-02-25 16:00:00,7.8,71.0,0.3,8.9,16.0
2023-02-25 17:00:00,6.8,77.0,0.3,5.6,7.0
2023-02-25 18:00:00,5.8,88.0,0.3,3.0,10.0
2023-02-25 19:00:00,4.3,98.0,0.8,4.3,9.0
2023-02-25 20:00:00,3.9,98.0,0.9,4.0,5.0
2023-02-25 21:00:00,3.3,99.0,0.7,4.2,4.0
2023-02-25 22:00:00,3.1,99.0,0.7,5.2,5.0
2023-02-25 23:00:00,2.6,98.0,0.9,6.6,6.0
2023-02-26 00:00:00,1.6,93.0,1.0,6.4,5.0
2023-02-26 01:00:00,1.2,95.0,0.9,6.7,4.0
2023-02-26 02:00:00,1.0,96.0,0.7,5.9,2.0
2023-02-26 03:00:00,0.8,96.0,0.6,7.2,2.0
2023-02-26 04:00:00,0.7,95.0,0.4,7.7,2.0
2023-02-26 05:00:00,0.6,94.0,0.3,9.7,2.0
2023-02-26 06:00:00,0.4,92.0,0.3,11.1,3.0
